


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.1.6     Platform:  V1.0.4 (b3)     Uptime:    0.000 s
Compiled:   Mar 13 2019 08:03:52     Directory:  7842F-Competition-Code


"Target","RPM","Power","D"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"0.000000","-0.000000","0.000000","-0.000000"
"300.000000","-0.000000","10.800000","270.000000"
"300.000000","-0.000000","11.600000","27.000000"
"300.000000","-0.000000","12.400000","2.700000"
"300.000000","-0.000000","13.200000","0.270000"
"300.000000","-0.000000","14.000000","0.027000"
"300.000000","-0.000000","14.800000","0.002700"
"300.000000","-0.000000","15.600000","0.000270"
"300.000000","-0.000000","16.400000","0.000027"
"300.000000","-0.000000","17.200000","0.000003"
"300.000000","-0.000000","18.000000","0.000000"
"300.000000","-0.000000","18.800000","0.000000"
"300.000000","-0.000000","19.600000","0.000000"
"300.000000","-0.000000","20.400000","0.000000"
"300.000000","-0.000000","21.200000","0.000000"
"300.000000","-0.000000","22.000000","-0.000000"
"300.000000","-0.000000","22.800000","-0.000000"
"300.000000","-0.000000","23.600000","-0.000000"
"300.000000","-0.000000","24.400000","-0.000000"
"300.000000","-0.000000","25.200000","-0.000000"
"300.000000","-0.000000","26.000000","-0.000000"
"300.000000","-0.000000","26.800000","-0.000000"
"300.000000","-0.000000","27.600000","-0.000000"
"300.000000","-0.000000","28.400000","-0.000000"
"300.000000","-0.000000","29.200000","-0.000000"
"300.000000","-0.000000","30.000000","-0.000000"
"300.000000","-0.000000","30.800000","-0.000000"
"300.000000","-0.000000","31.600000","-0.000000"
"300.000000","-0.000000","32.400000","-0.000000"
"300.000000","-0.000000","33.200000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
"300.000000","-0.000000","33.300000","-0.000000"
