"Time","Target/4","Rpm/4","Accel(rpm/s)","Power","D"
"55886","0.000000","227.860780","0.000000","0.000000","0.543385"
"55896","0.000000","227.666038","0.000000","0.000000","0.590502"
"55906","0.000000","227.500507","0.000000","0.000000","0.604826"
"55916","0.000000","227.125431","-625.000000","0.000000","0.783922"
"55926","0.000000","226.806616","-625.000000","0.000000","0.882189"
"55936","0.000000","226.535624","0.000000","0.000000","0.922545"
"55946","0.000000","226.305280","0.000000","0.000000","0.922311"
"55956","0.000000","226.343863","312.500000","0.000000","0.706982"
"55966","0.000000","226.376659","312.500000","0.000000","0.539350"
"55976","0.000000","226.638910","312.500000","0.000000","0.221679"
"55986","0.000000","227.330573","1250.000000","0.000000","-0.375988"
"55996","0.000000","227.918487","1250.000000","0.000000","-0.771121"
"56006","0.000000","228.183839","-312.500000","0.000000","-0.829179"
"56016","0.000000","228.409388","-312.500000","0.000000","-0.843782"
"56026","0.000000","228.366730","-312.500000","0.000000","-0.640899"
"56036","0.000000","228.330471","-312.500000","0.000000","-0.483712"
"56046","0.000000","228.065275","-312.500000","0.000000","-0.174813"
"56056","0.000000","227.371109","-1250.000000","0.000000","0.415483"
"56066","0.000000","226.781067","-1250.000000","0.000000","0.804419"
"56076","0.000000","226.513907","312.500000","0.000000","0.857263"
"56086","0.000000","226.286821","312.500000","0.000000","0.867480"
"56096","0.000000","225.625048","-625.000000","0.000000","1.223402"
"56106","0.000000","225.062541","-625.000000","0.000000","1.428728"
"56116","0.000000","224.584410","0.000000","0.000000","1.525487"
"56126","0.000000","224.177998","0.000000","0.000000","1.545519"
"56136","0.000000","223.832549","0.000000","0.000000","1.512775"
"56146","0.000000","223.538916","0.000000","0.000000","1.445126"
"56156","0.000000","223.289329","0.000000","0.000000","1.355770"
"56166","0.000000","223.545929","1250.000000","0.000000","0.879336"
"56176","0.000000","223.764040","1250.000000","0.000000","0.528980"
"56186","0.000000","224.183809","312.500000","0.000000","0.087369"
"56196","0.000000","224.540613","312.500000","0.000000","-0.215548"
"56206","0.000000","224.843896","0.000000","0.000000","-0.415065"
"56216","0.000000","225.101686","0.000000","0.000000","-0.538284"
"56226","0.000000","225.086433","-312.500000","0.000000","-0.418425"
"56236","0.000000","225.542218","1250.000000","0.000000","-0.699368"
"56246","0.000000","225.929636","1250.000000","0.000000","-0.869428"
"56256","0.000000","226.258940","0.000000","0.000000","-0.958986"
