"Time","Target/4","Rpm/4","Accel(m/s)","Power","D"
"4146","150.000000","0.000000","0.000000","50.500000","0.000000"
"4156","150.000000","0.000000","0.000000","50.900000","0.000000"
"4166","150.000000","0.000000","0.000000","51.300000","0.000000"
"4176","150.000000","0.000000","0.000000","51.700000","0.000000"
"4186","150.000000","0.000000","0.000000","52.100000","0.000000"
"4196","150.000000","0.000000","0.000000","52.500000","0.000000"
"4206","150.000000","0.000000","0.000000","52.900000","0.000000"
"4216","150.000000","0.000000","0.000000","53.300000","0.000000"
"4226","150.000000","0.000000","0.000000","53.700000","0.000000"
"4236","150.000000","0.000000","0.000000","54.100000","0.000000"
"4246","150.000000","0.000000","0.000000","54.500000","0.000000"
"4256","150.000000","0.000000","0.000000","54.900000","0.000000"
"4266","150.000000","0.000000","0.000000","55.300000","0.000000"
"4276","150.000000","0.000000","0.000000","55.700000","0.000000"
"4286","150.000000","0.000000","0.000000","56.100000","0.000000"
"4296","150.000000","0.000000","0.000000","56.500000","0.000000"
"4306","150.000000","0.000000","0.000000","56.900000","0.000000"
"4316","150.000000","0.000000","0.000000","57.300000","0.000000"
"4326","150.000000","0.000000","0.000000","57.700000","0.000000"
"4336","150.000000","0.000000","0.000000","58.100000","0.000000"
"4346","150.000000","0.000000","0.000000","58.500000","0.000000"
"4356","150.000000","0.000000","0.000000","58.900000","0.000000"
"4366","150.000000","0.000000","0.000000","59.300000","0.000000"
"4376","150.000000","0.000000","0.000000","59.700000","0.000000"
"4386","150.000000","0.000000","0.000000","60.100000","0.000000"
"4396","150.000000","0.000000","0.000000","60.500000","0.000000"
"4406","150.000000","0.000000","0.000000","60.900000","0.000000"
"4416","150.000000","0.000000","0.000000","61.300000","0.000000"
"4426","150.000000","0.000000","0.000000","61.700000","0.000000"
"4436","150.000000","0.000000","0.000000","62.100000","0.000000"
"4446","150.000000","0.000000","0.000000","62.500000","0.000000"
"4456","150.000000","0.000000","0.000000","62.900000","0.000000"
"4466","150.000000","0.000000","0.000000","63.300000","0.000000"
"4476","150.000000","0.000000","0.000000","63.700000","0.000000"
"4486","150.000000","0.000000","0.000000","64.100000","0.000000"
"4496","150.000000","0.000000","0.000000","64.500000","0.000000"
"4506","150.000000","0.000000","0.000000","64.900000","0.000000"
"4516","150.000000","0.000000","0.000000","65.300000","0.000000"
"4526","150.000000","0.000000","0.000000","65.700000","0.000000"
"4536","150.000000","0.000000","0.000000","66.100000","0.000000"
"4546","150.000000","0.000000","0.000000","66.500000","0.000000"
"4556","150.000000","0.000000","0.000000","66.600000","0.000000"
"4566","150.000000","0.000000","0.000000","66.600000","0.000000"
"4576","150.000000","0.000000","0.000000","66.600000","0.000000"
"4586","150.000000","0.000000","0.000000","66.600000","0.000000"
"4596","150.000000","0.000000","0.000000","66.600000","0.000000"
"4606","150.000000","0.000000","0.000000","66.600000","0.000000"
"4616","150.000000","0.000000","0.000000","66.600000","0.000000"
"4626","225.000000","0.000000","0.000000","67.000000","150.000000"
"4636","225.000000","0.000000","0.000000","67.400000","75.000000"
"4646","225.000000","0.000000","0.000000","67.800000","37.500000"
"4656","225.000000","0.000000","0.000000","68.200000","18.750000"
"4666","225.000000","0.000000","0.000000","68.600000","9.375000"
"4676","225.000000","0.000000","0.000000","69.000000","4.687500"
"4686","225.000000","0.000000","0.000000","69.400000","2.343750"
"4696","225.000000","0.000000","0.000000","69.800000","1.171875"
"4706","225.000000","0.000000","0.000000","70.200000","0.585938"
"4716","225.000000","0.000000","0.000000","70.600000","0.292969"
"4726","225.000000","0.000000","0.000000","71.000000","0.146484"
"4736","225.000000","0.000000","0.000000","71.400000","0.073242"
"4746","225.000000","0.000000","0.000000","71.800000","0.036621"
"4756","225.000000","0.000000","0.000000","72.200000","0.018311"
"4766","225.000000","0.000000","0.000000","72.600000","0.009155"
"4776","225.000000","0.000000","0.000000","73.000000","0.004578"
"4786","225.000000","0.000000","0.000000","73.400000","0.002289"
"4796","225.000000","0.000000","0.000000","73.800000","0.001144"
"4806","225.000000","0.000000","0.000000","74.200000","0.000572"
"4816","225.000000","0.000000","0.000000","74.600000","0.000286"
"4826","225.000000","0.000000","0.000000","75.000000","0.000143"
"4836","225.000000","0.000000","0.000000","75.400000","0.000072"
"4846","225.000000","0.000000","0.000000","75.800000","0.000036"
"4856","225.000000","0.000000","0.000000","76.200000","0.000018"
"4866","225.000000","0.000000","0.000000","76.600000","0.000009"
"4876","225.000000","0.000000","0.000000","77.000000","0.000004"
"4886","225.000000","0.000000","0.000000","77.400000","0.000002"
"4896","225.000000","0.000000","0.000000","77.800000","0.000001"
"4906","225.000000","0.000000","0.000000","78.200000","0.000001"
"4916","225.000000","0.000000","0.000000","78.600000","0.000000"
"4926","225.000000","0.000000","0.000000","79.000000","0.000000"
"4936","225.000000","0.000000","0.000000","79.400000","0.000000"
"4946","225.000000","0.000000","0.000000","79.800000","0.000000"
"4956","225.000000","0.000000","0.000000","80.200000","0.000000"
"4966","225.000000","0.000000","0.000000","80.600000","0.000000"
"4976","225.000000","0.000000","0.000000","81.000000","0.000000"
"4986","225.000000","0.000000","0.000000","81.400000","0.000000"
"4996","225.000000","0.000000","0.000000","81.800000","0.000000"
"5006","225.000000","0.000000","0.000000","82.200000","0.000000"
"5016","225.000000","0.000000","0.000000","82.600000","0.000000"
"5026","225.000000","0.000000","0.000000","83.000000","0.000000"
"5036","225.000000","0.000000","0.000000","83.400000","0.000000"
"5046","225.000000","0.000000","0.000000","83.800000","0.000000"
"5056","225.000000","0.000000","0.000000","84.200000","0.000000"
"5066","225.000000","0.000000","0.000000","84.600000","0.000000"
"5076","225.000000","0.000000","0.000000","85.000000","0.000000"
"5086","225.000000","0.000000","0.000000","85.400000","0.000000"
"5096","225.000000","0.000000","0.000000","85.800000","0.000000"
"5106","225.000000","0.000000","0.000000","86.200000","0.000000"
"5116","225.000000","0.000000","0.000000","86.600000","0.000000"
"5126","225.000000","0.000000","0.000000","87.000000","0.000000"
"5136","225.000000","0.000000","0.000000","87.400000","0.000000"
"5146","225.000000","0.000000","0.000000","87.800000","0.000000"
"5156","225.000000","0.000000","0.000000","88.200000","0.000000"
"5166","225.000000","0.000000","0.000000","88.600000","0.000000"
"5176","225.000000","0.000000","0.000000","89.000000","0.000000"
"5186","225.000000","0.000000","0.000000","89.400000","0.000000"
"5196","225.000000","0.000000","0.000000","89.800000","0.000000"
"5206","225.000000","0.000000","0.000000","90.200000","0.000000"
"5216","225.000000","0.000000","0.000000","90.600000","0.000000"
"5226","225.000000","0.000000","0.000000","91.000000","0.000000"
"5236","225.000000","0.000000","0.000000","91.400000","0.000000"
"5246","225.000000","0.000000","0.000000","91.800000","0.000000"
"5256","225.000000","0.000000","0.000000","92.200000","0.000000"
"5266","225.000000","0.000000","0.000000","92.600000","0.000000"
"5276","225.000000","0.000000","0.000000","93.000000","0.000000"
"5286","225.000000","0.000000","0.000000","93.400000","0.000000"
"5296","225.000000","0.000000","0.000000","93.800000","0.000000"
"5306","225.000000","0.000000","0.000000","94.200000","0.000000"
"5316","225.000000","0.000000","0.000000","94.600000","0.000000"
"5326","225.000000","0.000000","0.000000","95.000000","0.000000"
"5336","225.000000","0.000000","0.000000","95.400000","0.000000"
"5346","225.000000","0.000000","0.000000","95.800000","0.000000"
"5356","225.000000","0.000000","0.000000","96.200000","0.000000"
"5366","225.000000","0.000000","0.000000","96.600000","0.000000"
"5376","225.000000","0.000000","0.000000","97.000000","0.000000"
"5386","225.000000","0.000000","0.000000","97.400000","0.000000"
"5396","225.000000","0.000000","0.000000","97.800000","0.000000"
"5406","225.000000","0.000000","0.000000","98.200000","0.000000"
"5416","225.000000","0.000000","0.000000","98.600000","0.000000"
"5426","225.000000","0.000000","0.000000","99.000000","0.000000"
"5436","225.000000","0.000000","0.000000","99.400000","0.000000"
"5446","225.000000","0.000000","0.000000","99.800000","0.000000"
"5456","225.000000","0.000000","0.000000","99.900000","0.000000"
"5466","300.000000","0.000000","0.000000","100.300000","150.000000"
"5476","300.000000","0.000000","0.000000","100.700000","75.000000"
"5486","300.000000","0.000000","0.000000","101.100000","37.500000"
"5496","300.000000","0.000000","0.000000","101.500000","18.750000"
"5506","300.000000","0.000000","0.000000","101.900000","9.375000"
"5516","300.000000","0.000000","0.000000","102.300000","4.687500"
"5526","300.000000","0.000000","0.000000","102.700000","2.343750"
"5536","300.000000","0.000000","0.000000","103.100000","1.171875"
"5546","300.000000","0.000000","0.000000","103.500000","0.585938"
"5556","300.000000","0.000000","0.000000","103.900000","0.292969"
"5566","300.000000","0.000000","0.000000","104.300000","0.146484"
"5576","300.000000","0.000000","0.000000","104.700000","0.073242"
"5586","300.000000","0.000000","0.000000","105.100000","0.036621"
"5596","300.000000","0.000000","0.000000","105.500000","0.018311"
"5606","300.000000","0.000000","0.000000","105.900000","0.009155"
"5616","300.000000","0.000000","0.000000","106.300000","0.004578"
"5626","300.000000","0.000000","0.000000","106.700000","0.002289"
"5636","300.000000","0.000000","0.000000","107.100000","0.001144"
"5646","300.000000","0.000000","0.000000","107.500000","0.000572"
"5656","300.000000","0.000000","0.000000","107.900000","0.000286"
"5666","300.000000","0.000000","0.000000","108.300000","0.000143"
"5676","300.000000","0.000000","0.000000","108.700000","0.000072"
"5686","300.000000","0.000000","0.000000","109.100000","0.000036"
"5696","300.000000","0.000000","0.000000","109.500000","0.000018"
"5706","300.000000","0.000000","0.000000","109.900000","0.000009"
"5716","300.000000","0.000000","0.000000","110.300000","0.000004"
"5726","300.000000","0.000000","0.000000","110.700000","0.000002"
"5736","300.000000","0.000000","0.000000","111.100000","0.000001"
"5746","300.000000","0.000000","0.000000","111.500000","0.000001"
"5756","300.000000","0.000000","0.000000","111.900000","0.000000"
"5766","300.000000","0.000000","0.000000","112.300000","0.000000"
"5776","300.000000","0.000000","0.000000","112.700000","0.000000"
"5786","300.000000","0.000000","0.000000","113.100000","0.000000"
"5796","300.000000","0.000000","0.000000","113.500000","0.000000"
"5806","300.000000","0.000000","0.000000","113.900000","0.000000"
"5816","300.000000","0.000000","0.000000","114.300000","0.000000"
"5826","300.000000","0.000000","0.000000","114.700000","0.000000"
"5836","300.000000","0.000000","0.000000","115.100000","0.000000"
"5846","300.000000","0.000000","0.000000","115.500000","0.000000"
"5856","300.000000","0.000000","0.000000","115.900000","0.000000"
"5866","300.000000","0.000000","0.000000","116.300000","0.000000"
"5876","300.000000","0.000000","0.000000","116.700000","0.000000"
"5886","300.000000","0.000000","0.000000","117.100000","0.000000"
"5896","300.000000","0.000000","0.000000","117.500000","0.000000"
"5906","300.000000","0.000000","0.000000","117.900000","0.000000"
"5916","300.000000","0.000000","0.000000","118.300000","0.000000"
"5926","300.000000","0.000000","0.000000","118.700000","0.000000"
"5936","300.000000","0.000000","0.000000","119.100000","0.000000"
"5946","300.000000","0.000000","0.000000","119.500000","0.000000"
"5956","300.000000","0.000000","0.000000","119.900000","0.000000"
"5966","300.000000","0.000000","0.000000","120.300000","0.000000"
"5976","300.000000","0.000000","0.000000","120.700000","0.000000"
